age,Advanced degree,Bachelor's degree,High School diploma,No diploma,Some college
18 to 24 years,0.8433481492272343,11.84144511224983,27.258273264368853,9.278732134907438,50.77820133924664
25 to 34 years,12.307472045449359,28.058850666295946,18.707952323545868,9.392708266330251,31.533016698378578
35 to 44 years,15.880986757812348,23.449510530655218,17.737680043043884,15.796756999469693,27.135065669018854
45 to 64 years,12.123749829671599,20.05086874006752,19.48912115762707,17.926073359915602,30.41018691271821
65 years and over,10.625985632686376,16.24680258870161,23.1045260285765,21.365580451740044,28.65710529829547
