age,Advanced degree,Bachelor's degree,High School diploma,No diploma,Some college
18 to 24 years,0.6391924176857081,8.237710865553195,33.333230775384244,12.694725495957423,45.09514044541943
25 to 34 years,9.215280121032206,23.61844427843909,24.06909680300994,12.440519263014245,30.656659534504517
35 to 44 years,13.38536048171252,21.109317641298667,21.44556463221603,17.837677890025347,26.22207935474744
45 to 64 years,12.89790483211942,19.276310748374833,21.01718257181495,18.931934483808373,27.87666736388243
65 years and over,17.48151666699482,19.712888945769098,17.685916241705883,17.630088864386646,27.489589281143555
